Name,Party,PartyLetter,BornDate,Age,Profession,Education,Spokesperson_Areas,ImageURL
Alex Ahrendtsen,Dansk Folkeparti,O,14-02-1967,59,Forlægger,"Cand.mag. i dansk, litteratur, religion og oldgræsk, Odense Universitet, 1989-1996.","Beredskabsordfører, Færøerneordfører, Forsvarsordfører, Grønlandsordfører, Rigsfællesskabsordfører",https://www.dr.dk/parliament-member-images/alex_ahrendtsen_500.jpg
Alex Vanopslagh,Liberal Alliance,I,17-10-1991,34,Partileder,"Kandidat i statskundskab, Københavns Universitet, 2014-2017. , Bachelor i statskundskab, Syddansk Universitet (SDU), 2011-2014. , Studentereksamen, Herning HF og VUC, 2009-2011. , Folkeskolens afgangseksamen, Gimsing Skole, 2008.",,https://www.dr.dk/parliament-member-images/alex_vanopslagh_500.jpg
Allan Feldt,Dansk Folkeparti,O,03-06-1963,63,Iværksætter,"Bestyrelsesuddannelsen, Copenhagen Business School (CBS), 2019. , Cand.merc., Copenhagen Business School (CBS), 1995.",,https://www.dr.dk/parliament-member-images/allan_feldt_500.jpg
Amanda Heitmann,Venstre,V,27-02-1998,28,,"Cand.scient.adm, Aalborg Universitet, 2020-2022. , Bachelor i politik og administration, Aalborg Universitet, 2017-2020. , Studentereksamen, Bagsværd Kostskole og Gymnasium, 2013-2016.",Socialordfører,https://www.dr.dk/parliament-member-images/amanda_heitmann_500.jpg
Anastasia Milthers,Radikale Venstre,B,06-01-2002,24,Studerende,"Bachelor i statskundskab, Københavns Universitet, 2025. , Student, Roskilde Katedralskole, 2021.","Energiordfører, Forsyningsordfører, Klimaordfører, Socialordfører, Udviklingsordfører",https://www.dr.dk/parliament-member-images/anastasia_milthers_500.jpg
Anders Kronborg,Socialdemokratiet,A,18-03-1982,44,Lærer,"Lærer, Ribe Statsseminarium, 2006. , Matematisk student, Esbjerg Statsskole, 2002.",Erhvervsordfører,https://www.dr.dk/parliament-member-images/anders_kronborg_500.jpg
Anders Kühnau,Socialdemokratiet,A,12-08-1981,44,Konsulent,"Cand.scient.pol., Aarhus Universitet, 2008. , Student, Aarhus Katedralskole, 2000.",Sundhedsordfører,https://www.dr.dk/parliament-member-images/anders_kuhnau_500.jpg
Anders Storgaard,Det Konservative Folkeparti,C,28-01-1994,32,Konsulent,"Cand.scient.pol, Københavns Universitet, 2022. , Stx, Aarhus Statsgymnasium, 2013. , Folkeskolens afgangseksamen, Risskov Skole, Aarhus, 2010.","Boligordfører, Energiordfører, Forsyningsordfører, Klimaordfører",https://www.dr.dk/parliament-member-images/anders_storgaard_500.jpg
Anders Vistisen,Dansk Folkeparti,O,12-11-1987,38,Juridisk konsulent,"Cand.jur, Aarhus Universitet, 2006-2012. , Højere Handelseksamen, Skive Handelsskole , 2003-2006. , Folkeskole, Vridsted Skole, 1996-2006.","Finansordfører, Retsordfører",https://www.dr.dk/parliament-member-images/anders_vistisen_500.jpg
Ane Halsboe-Jørgensen,Socialdemokratiet,A,04-05-1983,43,Beskæftigelsesminister og minister for ligestilling,"Cand.scient.pol., Københavns Universitet, 2004-2009. , Sproglig student, Fjerritslev Gymnasium, 1999-2002.",,https://www.dr.dk/parliament-member-images/ane_halsboe_joergensen_500.jpg
Anna Bjerre,Alternativet,Å,10-06-1998,28,Klimaretfærdighedsaktivist,"Kandidat i bæredygtighedsvidenskab, Lunds Universitet, Sverige, 2022-2025. , Røst Talerskole, København, 2020. , Bachelor i miljøplanlægning, Roskilde Universitet, 2019-2022. , Politikens Debattør- og Kritikerskole, København, 2019. , Stx, Silkeborg Gymnasium, 2014-2017.","Energiordfører, Finansordfører, Klimaordfører, Ligestillingsordfører, Retsordfører, Skatteordfører, Forsyningsordfører, Minoritetsordfører",https://www.dr.dk/parliament-member-images/anna_bjerre_500.jpg
Anna Falkenberg,Sambandsflokkurin,,04-01-1996,30,,"Cand.scient.pol., Københavns Universitet, 2016-2022. , Matematisk student, Føroya Studentaskúli og HF-skeið, Tórshavn, Færøerne, 2012-2015. , Idrætsefterskolen i Ikast, Ikast, 2011-2012. , Hoyvíkar Skúli, Hoyvík, Færøerne, 2002-2011.",,https://www.dr.dk/parliament-member-images/anna_falkenberg_500.jpg
Anne Valentina Berthelsen,Socialistisk Folkeparti,F,16-09-1994,31,MF,"Bachelor, politik og administration, Roskilde Universitet, 2017-2019. , Statskundskab, Københavns Universitet, 2015-2017. , International Business and Politics, Copenhagen Business School (CBS), 2014-2015. , Studentereksamen (stx), Maribo Gymnasium, 2011-2013. , Gymnasieelev (stx), Vordingborg Gymnasium & HF, 2010-2011. , Folkeskole, Sundskolen, 2007-2010. , Folkeskole, Sakskøbing Skole, 2001-2007.","Beredskabsordfører, Forsvarsordfører",https://www.dr.dk/parliament-member-images/anne_valentina_berthelsen_500.jpg
Anni Matthiesen,Venstre,V,08-02-1964,62,Koordinator,"Diplomuddannelse, Danmarks Forvaltningshøjskole, 1997-2003. , Kontorassistent, Skoleforvaltningen, Grindsted Rådhus, 1985-1987. , Højere handelseksamen (1-årig), Esbjerg Handelsskole, 1984-1985. , Samfundssproglig student, Grindsted Gymnasium, 1980-1983.","Ældreordfører, Undervisningsordfører",https://www.dr.dk/parliament-member-images/anni_matthiesen_500.jpg
Astrid Carøe,Socialistisk Folkeparti,F,12-07-1994,31,MF,"Bachelor i statskundskab, Københavns Universitet, 2016-2020. , Student, Slagelse Gymnasium, 2010-2013. , Folkeskole, Pedersborg Skole, 2000-2010.","Ligestillingsordfører, Transportordfører, Ungdomsuddannelsesordfører",https://www.dr.dk/parliament-member-images/astrid_caroe_500.jpg
Benny Engelbrecht,Socialdemokratiet,A,04-08-1970,55,Fhv. minister,"Bestyrelsesuddannelse, INSEAD, Fontainebleau, 2025. , Kurser på merkonomuddannelsen i markedsføring, Handelsskolen Aabenraa, 1997-1999. , Folkeskole, Kildevældsskolen, 1977-1986.",Indenrigsordfører,https://www.dr.dk/parliament-member-images/benny_engelbrecht_500.jpg
Birgitte Bergman,Det Konservative Folkeparti,C,13-01-1967,59,,"Bestyrelsesuddannelsen, Copenhagen Business School (CBS), 2023. , Akademiøkonom, Copenhagen Business Academy, 1992-1994. , Samfundssproglig student, Helsingør Gymnasium, 1983-1986.","EU-ordfører, Handicapordfører, Kulturordfører, Socialordfører, Turismeordfører",https://www.dr.dk/parliament-member-images/birgitte_bergman_500.jpg
Birgitte Vind,Socialdemokratiet,A,13-08-1965,60,Lærer og leder,"Diploma of Leadership, CVU Sønderjylland University College, 2008-2011. , Familieterapeut, The Kempler Institute of Scandinavia, 2001-2003. , Lærer, Jelling Statsseminarium, 1984-1989.","Dyrevelfærdsordfører, Ligestillingsordfører, Naturordfører",https://www.dr.dk/parliament-member-images/birgitte_vind_500.jpg
Bjørn Brandenborg,Socialdemokratiet,A,10-12-1991,34,Ba.scient.adm.,"Ba.scient.adm., Aalborg Universitet, 2012-2015.","By- og landordfører, Transportordfører",https://www.dr.dk/parliament-member-images/bjoern_brandenborg_500.jpg
Camilla Fabricius,Socialdemokratiet,A,20-10-1971,54,MF,"Læreruddannelse, Aarhus Dag- og Aftenseminarium, 1999.","Kvindesundhedsordfører, Socialordfører",https://www.dr.dk/parliament-member-images/camilla_fabricius_500.jpg
Carl Valentin,Socialistisk Folkeparti,F,11-03-1992,34,MF,"Ba i samfundsfag med sidefag i retorik, Københavns Universitet, 2015-2019. , Stx, Mulernes Legatskole, 2009-2012. , 10. klasse, Glamsdalens Idrætsefterskole, 2008-2009. , Folkeskole, 7.-9. klasse, Giersings Realskole, 2005-2008. , Folkeskole, 0.-6. klasse, Stige Skole, 1999-2005.","Boligordfører, Dyrevelfærdsordfører, Fødevareordfører, Forbrugerordfører, Grøn trepartsordfører, Landbrugsordfører, Ludomaniordfører, Miljøordfører, Naturordfører",https://www.dr.dk/parliament-member-images/carl_valentin_500.jpg
Caroline Stage,Moderaterne,M,10-11-1990,35,Fhv. minister,"Cand.merc., International Marketing and Management, Copenhagen Business School (CBS), 2015. , BSc., Economics and Business Administration, Copenhagen Business School (CBS), 2013.","Digitaliseringsordfører, It-ordfører, EU-ordfører, Forskningsordfører, Ligestillingsordfører, Skatteordfører, Uddannelsesordfører",https://www.dr.dk/parliament-member-images/caroline_stage_olsen_500.jpg
Carsten Bach,Liberal Alliance,I,09-12-1975,50,Geolog,"Master i ledelses- og organisationspsykologi (LOOP), Aalborg Universitet, 2020-2022. , Cand.scient. i anvendt kvartærgeologi, Aarhus Universitet, Geologisk Institut, afdeling for sedimentologi, 1998-2003. , Reserveofficer, Flyvevåbnets Sergent- og Reserveofficersskole (FLSR), 1995-1996. , Matematisk student (4-årig Team Danmark-ordning), Holstebro Gymnasium og HF, 1991-1995. , Folkeskole, Nørrelandsskolen, Holstebro, 1981-1991.","Arktisordfører, Beredskabsordfører, Forsvarsordfører, Grønlandsordfører",https://www.dr.dk/parliament-member-images/carsten_bach_500.jpg
Cecilie Liv Hansen,Løsgænger,,15-08-2001,24,Salg- og marketingskoordinator,"UCL Erhvervsakademi og Professionshøjskole, 2023. , Commerce Management, Sales and Sales Management, 2021-2023. , Stx, Aabenraa Statsskole, 2017-2019.",,https://www.dr.dk/parliament-member-images/cecilie_liv_hansen_500.jpg
Charlotte Bagge Hansen,Moderaterne,M,28-07-1969,56,Selvstændig,"Erhvervsjura 2, Copenhagen West Business College, 2001. , Erhvervsjura 1, Copenhagen West Business College, 2000. , Merkonom (fagene ledelse og samarbejde, organisation, markedsføring 1, virksomhedsøkonomi), Kolding Købmandsskole, 1994. , Hf, VUC Gladsaxe/Herlev , 1993.","Beredskabsordfører, Erhvervsordfører, Fiskeriordfører, Forsvarsordfører, Samfundssikkerhedsordfører",https://www.dr.dk/parliament-member-images/charlotte_bagge_hansen_500.jpg
Charlotte Broman Mølbæk,Socialistisk Folkeparti,F,29-11-1977,48,Pædagog,"Studerende, politik og administration, Aalborg Universitet, 2015-2019. , Pædagog, Jysk Pædagogseminarium, 1999-2002.","Digitaliseringsordfører, EU-ordfører, Idrætsordfører, Kulturordfører, Medieordfører, Psykiatriordfører",https://www.dr.dk/parliament-member-images/charlotte_broman_moelbaek_500.jpg
Charlotte Green,Det Konservative Folkeparti,C,06-05-1974,52,,"Master i sundhedsantropologi, Aarhus Universitet, 2021. , Speciallæge i akutmedicin, Videreuddannelsesregion Nord, Aarhus, 2020. , Ph.d. i sundhedsvidenskab, Aarhus Universitet, 2014. , Speciallæge i kirurgi, Videreuddannelsesregion Nord, Aalborg og Viborg, 2010. , Cand.med, Aarhus Universitet, 2001. , Matematisk studentereksamen, Risskov Amtsgymnasium, 1993. , Folkeskolens afgangseksamen, Jellebakkeskolen, Risskov, 1990.","Ældreordfører, Fiskeriordfører, Forebyggelsesordfører, Sundhedsordfører",https://www.dr.dk/parliament-member-images/charlotte_green_500.jpg
Christian Kirk,Dansk Folkeparti,O,16-04-2000,26,Underviser,,"Børneordfører, Dyrevelfærdsordfører, Ligestillingsordfører, Undervisningsordfører",https://www.dr.dk/parliament-member-images/foto-mangler_500x500.jpg
Christian Rabjerg Madsen,Socialdemokratiet,A,24-03-1986,40,Minister for natur og dyrevelfærd,"Cand.scient.pol., Aarhus Universitet, 2006-2012. , Matematisk student, Varde Gymnasium, 2002-2005.",,https://www.dr.dk/parliament-member-images/christian_rabjerg_madsen_500.jpg
Christian Vigilius,Det Konservative Folkeparti,C,23-07-1998,27,Marketingchef,"Bachelor i statskundskab , Københavns Universitet, 2019-2023.","Beskæftigelsesordfører, Indfødsretsordfører, Integrationsordfører, Udlændingeordfører",https://www.dr.dk/parliament-member-images/christian_vigilius_500.jpg
Christina Egelund,Moderaterne,M,09-12-1977,48,"Forsknings-, uddannelses- og digitaliseringsminister","Studier i litteratur og sprogvidenskab, Lettres Modernes (uafsluttet), Sorbonne, Paris, 2000-2003. , Matematisk student, Hjørring Gymnasium, 1993-1996.",,https://www.dr.dk/parliament-member-images/christina_egelund_500.jpg
Christina Lykke,Socialistisk Folkeparti,F,15-04-1981,45,Socialpædagog,"Familieterapeut, Psykolog Jacob Mosgaard, 2017-2020. , Socialpædagog, Hjørring Pædagogseminarium, 2002-2006.","Handicapordfører, Socialordfører",https://www.dr.dk/parliament-member-images/christina_lykke_500.jpg
Christoffer Aagaard Melson,Venstre,V,16-08-1984,41,MF,"Kandidat i analytisk journalistik (cand.public.), Aarhus Universitet, 2008-2011. , Bachelor i medievidenskab, Aarhus Universitet, 2005-2008.","Digitaliseringsordfører, Psykiatriordfører, Sundhedsordfører",https://www.dr.dk/parliament-member-images/christoffer_aagaard_melson_500.jpg
Dennis Flydtkjær,Danmarksdemokraterne,Æ,13-03-1978,48,Fhv. selvstændigt erhvervsdrivende,"Datamatiker, Erhvervsakademi Midtjylland, 2000-2002. , Hhx, Ringkøbing Handelsskole, 1996-1998.","Beredskabsordfører, Finansordfører, Forsvarsordfører, Udlændingeordfører",https://www.dr.dk/parliament-member-images/dennis_flydtkjaer_500.jpg
Elise Sydendal,Alternativet,Å,18-09-1999,26,Sekretariatsmedarbejder,"Studerende på kandidatuddannelsen i statskundskab, Københavns Universitet fra 2024. , Bachelor i statskundskab, Københavns Universitet, 2022. , Student, Sorø Akademi, 2018. , Grundskole, Maribo Borgerskole, 2012-2015. , Grundskole, Blæsenborgskolen, Maribo, 2010-2012. , Grundskole, Fejø Skole, Fejø, 2005-2010.","Børneordfører, EU-ordfører, Familieordfører, Indfødsretsordfører, Integrationsordfører, Landdistrikts- og øordfører, Transportordfører, Uddannelsesordfører, Udlændingeordfører, Undervisningsordfører, Civilsamfundsordfører, Demokratiordfører, Digitaliseringsordfører, Forskningsordfører, Ordfører for nordisk samarbejde",https://www.dr.dk/parliament-member-images/elise_sydendal_500.jpg
Ellen Emilie,Moderaterne,M,09-11-2001,24,,"Katastrofe- og risikomanager, Københavns Professionshøjskole, 2023-2027. , Stx, Det frie Gymnasium, København, 2017-2020.","Boligordfører, Dyrevelfærdsordfører, Fødevareordfører, Klimaordfører, Miljøordfører, Naturordfører",https://www.dr.dk/parliament-member-images/ellen_emilie_500.jpg
Emilie Schytte,Løsgænger,,06-05-1993,33,,"HumTek, Roskilde Universitet, 2021-2024. , Cand.merc.sol, Copenhagen Business School (CBS), 2015-2017. , Ha(psyk.), Copenhagen Business School, 2012-2015. , Stx, Sorø Akademi, 2008-2011. , Folkeskole, Osted Skole, Skt. Josefs Skole Roskilde og Kirke Saaby Skole, 1998-2008.",,https://www.dr.dk/parliament-member-images/emilie_schytte_500.jpg
Eva Borchorst Mejnertz,Socialdemokratiet,A,30-07-1980,45,Gymnasielærer,,,https://www.dr.dk/parliament-member-images/foto-mangler_500x500.jpg
Eva Flyvholm,Enhedslisten,Ø,18-04-1981,45,,"Cand.scient.adm. i offentlig administration og internationale udviklingsstudier, Roskilde Universitet, 2002-2009. , Student, Kalundborg Gymnasium, 1997-2000. , Folkeskole, Buerup og Høng, 1987-1997.","Beredskabsordfører, EU-ordfører, Europarådsordfører, Forsvarsordfører, It-ordfører, Retsordfører",https://www.dr.dk/parliament-member-images/eva_flyvholm_500.jpg
Fie Hækkerup,Socialdemokratiet,A,25-07-1994,31,MF,"Cand.mag. i dansk, Københavns Universitet, 2020.",Miljøordfører,https://www.dr.dk/parliament-member-images/fie_haekkerup_500.jpg
Flemming Møller Mortensen,Socialdemokratiet,A,03-07-1963,63,Fhv. minister,"Lederuddannelse, Novartis, 2005-2007. , LiF-eksamen, 2002. , Salgsuddannelse, AstraZeneca, 2001-2004. , Specialuddannelse til anæstesisygeplejerske, Nordjyllands Amt, 1994-1996. , Sygeplejeskolen i Aalborg, 1984-1988. , Civilforsvarets gruppeføreruddannelse, Næstved, 1983. , Højere forberedelseseksamen, Aalborghus Statsgymnasium, 1980-1982.","Udenrigsordfører, Udviklingsordfører",https://www.dr.dk/parliament-member-images/flemming_mller_mortensen_500.jpg
Franciska Rosenkilde,Alternativet,Å,19-03-1976,50,Politisk leder for Alternativet,"Geografi (cand.scient.geo.), Københavns Universitet, 2015. , Sundhed og humanernæring (prof.-bach.), Suhrs Højskole, København, 2010.","Fødevareordfører, Landbrugsordfører, Psykiatriordfører, Sundhedsordfører, Grøn trepartsordfører, Ældreordfører",https://www.dr.dk/parliament-member-images/franciska_rosenkilde_500.jpg
Frederik Bloch Münster,Det Konservative Folkeparti,C,03-11-1994,31,Konsulent,"Cand.scient.pol., Københavns Universitet, 2015-2021.","Fødevareordfører, Landbrugsordfører, Miljøordfører, Politisk ordfører, Ordfører vedr. det tyske mindretal",https://www.dr.dk/parliament-member-images/frederik_bloch_mnster_500.jpg
Frederik Vad,Socialdemokratiet,A,01-09-1994,31,MF,"Ba i journalistik og arbejdslivsstudier, Roskilde Universitet, 2014-2016. , Student, Roskilde Gymnasium, 2010-2013. , Folkeskole, Vipperød Skole, 2000-2010.",Værdiordfører,https://www.dr.dk/parliament-member-images/frederik_vad_500.jpg
Freja Brandhøj,Liberal Alliance,I,13-10-1987,38,Chef for iværksætteripolitik,"Cand.scient.pol., Syddansk Universitet, 2008-2015. , Kamptropperne, Gardehusarregimentet, Slagelse, 2007. , Matematisk studentereksamen, Sønderborg Statsskole, 2003-2006.","Iværksætterordfører, Sundhedsordfører",https://www.dr.dk/parliament-member-images/freja_brandhoej_500.jpg
Frida Bruun,Moderaterne,M,31-12-1988,37,,"Freight forwarder, DFDS og Rybners, Esbjerg, 2014. , Eus, Rybners, Esbjerg, 2012. , Våbengast, Søværnets konstabeluddannelse, 2009. , Stx, Ribe Katedralskole, 2008.","Kirkeordfører, Kulturordfører, Landdistrikts- og øordfører, Transportordfører",https://www.dr.dk/parliament-member-images/frida_bruun_500.jpg
Hans Kristian Skibby,Danmarksdemokraterne,Æ,18-01-1969,57,Projektspeditør,"Højere handelseksamen, Horsens Handelsskole, 1986-1989.","Retsordfører, Skatteordfører, Transportordfører",https://www.dr.dk/parliament-member-images/hans_kristian_skibby_500.jpg
